First Name,Middle Name or Initial,Last Name,Class of,Google Scholar ID 
Gigih,Forda ,Nama,,3pCLMJoAAAAJ
Gregorius ,Nugroho ,Susanto,,jFz1eZoAAAAJ
Zainal ,,Abidin,,Tf8QNOkAAAAJ
herman ,halomoan ,sinaga,,AlyUxI8AAAAJ
Sarno,,Sarno,,jOHl7RYAAAAJ
Afandi,,Afandi,,fySkCBwAAAAJ
Sunyoto,,Sunyoto,,ov1Vc0EAAAAJ
Sri ,,Hasnawati,,A7OFLGEAAAAJ
Wayan,,Suana,,rpTcaP0AAAAJ
Sutopo,,Hadi,,obHAf6sAAAAJ
TRI ,,ANDRISMAN,,kD54ymoAAAAJ
GUSRI ,,AKHYAR,,tGvUSeUAAAAJ
Darsono,,Darsono,,8SUSX0AAAAAJ
Dian Isti ,,Angraini,,0JEqZukAAAAJ
